Year,Pounds,Sales,Advertising (dollars)
2000,"111,741,335",1988875535,224582757
2001,"112,193,550",2127520387,236676917
2002,"112,148,366",2362166931,234645000
2003,"112,924,505",2489501857,242514000
2004,"116,768,672",2617388686,231084000
2005,"116,197,005",2611292547,250792000
2006,"115,818,739",2593436592,354123000
2007,"118,234,763",2695462138,411239000
2008,"119,915,125",2757087244,547873000
2009,"117,693,273",2611908686,493071000
2010,"120,522,070",2780437133,444494000
2011,"122,735,863",2936852337,451985000
2012,"125,496,642",3077403248,435927000
2013,"128,043,919",3263105347,503161000
2014,"127,810,528",3415702358,600786000
2015,"129,363,158",3680195446,684938000
2016,"131,433,651",3981902822,759348000
